as_of_utc,player_id,now_cost,selected_by_percent,transfers_in_event,transfers_out_event,form,total_points,minutes,status,chance_of_playing_next_round
2026-09-19T00:15:20.372387+00:00,1,60,41.5,13203,1215,5.8,29,360,a,
2026-09-19T00:15:20.372387+00:00,2,49,0.1,9,7,0.0,0,0,a,
2026-09-19T00:15:20.372387+00:00,3,49,0.0,3,8,0.0,0,0,a,
2026-09-19T00:15:20.372387+00:00,4,80,23.1,1036,5736,4.8,24,360,a,
2026-09-19T00:15:20.372387+00:00,5,65,0.3,692,121,0.2,1,45,a,100
2026-09-19T00:15:20.372387+00:00,6,59,0.2,13,69,0.0,0,0,i,0
2026-09-19T00:15:20.372387+00:00,7,55,0.6,61,225,1.8,9,271,a,
2026-09-19T00:15:20.372387+00:00,8,58,50.7,5027,1626,5.6,28,326,a,
2026-09-19T00:15:20.372387+00:00,9,53,0.9,73,240,0.4,2,32,a,
2026-09-19T00:15:20.372387+00:00,10,55,5.5,507,4466,4.2,21,315,a,100
2026-09-19T00:15:20.372387+00:00,11,53,1.7,69,674,2.4,12,168,a,100
2026-09-19T00:15:20.372387+00:00,12,95,13.1,8123,1425,6.0,30,336,a,
2026-09-19T00:15:20.372387+00:00,13,74,12.4,682,1414,3.8,19,321,a,
2026-09-19T00:15:20.372387+00:00,14,63,1.0,118,294,0.6,3,68,a,
2026-09-19T00:15:20.372387+00:00,15,68,20.1,6269,2448,5.4,27,305,a,
2026-09-19T00:15:20.372387+00:00,16,62,0.2,67,65,0.4,2,23,a,
2026-09-19T00:15:20.372387+00:00,17,58,0.4,52,125,0.6,3,51,a,
2026-09-19T00:15:20.372387+00:00,18,63,0.1,0,40,0.0,0,0,u,0
2026-09-19T00:15:20.372387+00:00,19,53,0.6,27,187,0.8,4,59,a,
2026-09-19T00:15:20.372387+00:00,20,53,0.1,18,28,0.0,0,0,a,
2026-09-19T00:15:20.372387+00:00,21,49,0.0,6,21,0.0,0,0,i,0
2026-09-19T00:15:20.372387+00:00,22,54,0.0,0,4,0.0,0,0,u,0
2026-09-19T00:15:20.372387+00:00,23,55,0.0,0,5,0.0,0,0,u,0
2026-09-19T00:15:20.372387+00:00,24,55,0.0,0,2,0.0,0,0,u,0
2026-09-19T00:15:20.372387+00:00,25,72,3.2,417,865,0.2,1,12,a,
2026-09-19T00:15:20.372387+00:00,26,76,8.5,6341,1476,3.4,17,347,a,
2026-09-19T00:15:20.372387+00:00,27,59,0.2,0,58,0.0,0,0,u,0
2026-09-19T00:15:20.372387+00:00,28,50,4.9,577,1705,1.8,9,360,a,
2026-09-19T00:15:20.372387+00:00,29,45,0.1,3,62,0.2,1,90,i,0
2026-09-19T00:15:20.372387+00:00,30,45,0.1,0,12,0.0,0,0,u,0
2026-09-19T00:15:20.372387+00:00,31,46,19.4,24799,1193,2.2,11,191,a,
2026-09-19T00:15:20.372387+00:00,32,44,5.1,237,805,1.4,7,251,a,100
2026-09-19T00:15:20.372387+00:00,33,45,0.4,72,63,1.4,7,171,a,
2026-09-19T00:15:20.372387+00:00,34,45,0.3,1,274,0.6,3,187,i,0
2026-09-19T00:15:20.372387+00:00,35,50,0.1,9,13,0.2,1,16,a,
2026-09-19T00:15:20.372387+00:00,36,45,0.6,1,506,1.8,9,335,i,0
2026-09-19T00:15:20.372387+00:00,37,45,0.3,42,64,1.4,7,360,a,
2026-09-19T00:15:20.372387+00:00,38,40,1.6,169,247,0.0,0,0,a,
2026-09-19T00:15:20.372387+00:00,39,40,0.1,0,20,0.0,0,0,u,0
2026-09-19T00:15:20.372387+00:00,40,77,40.0,12262,2844,5.8,29,437,a,
2026-09-19T00:15:20.372387+00:00,41,59,0.9,101,409,1.8,9,311,a,
2026-09-19T00:15:20.372387+00:00,42,54,0.0,3,12,0.4,2,54,a,
2026-09-19T00:15:20.372387+00:00,43,58,1.5,191,493,2.0,10,312,a,100
2026-09-19T00:15:20.372387+00:00,44,54,0.1,0,31,0.0,0,0,u,0
2026-09-19T00:15:20.372387+00:00,45,54,2.2,262,432,2.2,11,351,a,
2026-09-19T00:15:20.372387+00:00,46,50,0.3,51,76,1.8,9,302,a,
2026-09-19T00:15:20.372387+00:00,47,50,0.3,40,97,1.8,9,360,a,100
2026-09-19T00:15:20.372387+00:00,48,49,0.0,2,3,0.0,0,0,i,0
2026-09-19T00:15:20.372387+00:00,49,50,0.0,0,0,0.0,0,0,u,0
2026-09-19T00:15:20.372387+00:00,50,45,0.6,58,160,0.0,0,0,a,
2026-09-19T00:15:20.372387+00:00,51,45,1.2,225,598,1.6,8,279,a,
2026-09-19T00:15:20.372387+00:00,52,50,0.1,20,15,1.6,8,87,a,
2026-09-19T00:15:20.372387+00:00,53,59,0.1,62,25,0.2,1,27,a,100
2026-09-19T00:15:20.372387+00:00,54,55,0.0,22,4,-0.4,-2,39,a,100
2026-09-19T00:15:20.372387+00:00,55,78,2.6,0,736,0.0,0,0,u,0
2026-09-19T00:15:20.372387+00:00,56,55,0.2,147,69,0.6,3,69,a,100
2026-09-19T00:15:20.372387+00:00,57,45,3.0,403,784,1.4,7,360,a,
2026-09-19T00:15:20.372387+00:00,58,40,3.5,804,253,0.0,0,0,a,
2026-09-19T00:15:20.372387+00:00,59,40,0.1,0,51,0.0,0,0,u,0
2026-09-19T00:15:20.372387+00:00,60,55,0.8,149,164,1.6,8,360,a,
2026-09-19T00:15:20.372387+00:00,61,55,3.1,290,531,1.6,8,360,a,
2026-09-19T00:15:20.372387+00:00,62,50,0.2,51,36,0.0,0,0,a,
2026-09-19T00:15:20.372387+00:00,63,49,0.0,4,2,0.0,0,0,i,0
2026-09-19T00:15:20.372387+00:00,64,45,0.1,25,17,0.4,2,360,a,
2026-09-19T00:15:20.372387+00:00,65,44,0.0,3,2,0.0,0,0,i,0
2026-09-19T00:15:20.372387+00:00,66,40,0.3,54,38,0.0,0,0,a,100
2026-09-19T00:15:20.372387+00:00,67,63,1.6,238,477,1.6,8,347,a,
2026-09-19T00:15:20.372387+00:00,68,61,6.5,9531,1211,5.8,29,350,a,
2026-09-19T00:15:20.372387+00:00,69,61,5.8,1852,1361,5.6,28,356,a,
2026-09-19T00:15:20.372387+00:00,70,60,1.0,447,270,3.0,15,294,a,
2026-09-19T00:15:20.372387+00:00,71,50,0.2,23,51,1.4,7,165,a,
2026-09-19T00:15:20.372387+00:00,72,49,0.1,5,20,0.6,3,10,a,
2026-09-19T00:15:20.372387+00:00,73,50,0.3,70,89,1.6,8,192,a,100
2026-09-19T00:15:20.372387+00:00,74,50,0.1,10,15,0.4,2,30,a,100
2026-09-19T00:15:20.372387+00:00,75,50,0.0,21,11,0.6,3,28,a,100
2026-09-19T00:15:20.372387+00:00,76,49,0.0,2,2,0.2,1,15,a,
2026-09-19T00:15:20.372387+00:00,77,49,0.0,1,4,0.0,0,0,i,0
2026-09-19T00:15:20.372387+00:00,78,74,0.2,4,50,0.0,0,0,i,0
2026-09-19T00:15:20.372387+00:00,79,60,3.2,1363,864,3.2,16,334,a,
2026-09-19T00:15:20.372387+00:00,80,55,0.0,0,3,0.0,0,0,u,0
2026-09-19T00:15:20.372387+00:00,81,60,0.1,53,30,0.4,2,10,a,100
2026-09-19T00:15:20.372387+00:00,82,50,6.1,1186,631,4.0,20,450,a,
2026-09-19T00:15:20.372387+00:00,83,45,0.1,25,24,0.0,0,0,a,
2026-09-19T00:15:20.372387+00:00,84,54,1.0,8,699,2.0,10,196,i,0
2026-09-19T00:15:20.372387+00:00,85,49,0.1,4,17,0.0,0,0,i,0
2026-09-19T00:15:20.372387+00:00,86,55,1.8,301,737,4.4,22,406,a,
2026-09-19T00:15:20.372387+00:00,87,45,4.0,866,2802,4.2,21,450,a,
2026-09-19T00:15:20.372387+00:00,88,46,7.7,1040,1467,4.6,23,294,a,
2026-09-19T00:15:20.372387+00:00,89,44,0.2,19,45,0.2,1,2,a,
2026-09-19T00:15:20.372387+00:00,90,45,0.1,17,14,1.0,5,152,a,
2026-09-19T00:15:20.372387+00:00,91,45,0.1,7,15,1.2,6,192,a,
2026-09-19T00:15:20.372387+00:00,92,45,0.0,9,9,0.0,0,0,a,
2026-09-19T00:15:20.372387+00:00,93,45,0.1,1162,41,4.2,21,253,a,
2026-09-19T00:15:20.372387+00:00,94,61,7.8,25145,1141,7.8,39,447,a,
2026-09-19T00:15:20.372387+00:00,95,63,0.5,69,345,1.4,7,179,a,
2026-09-19T00:15:20.372387+00:00,96,54,0.4,137,118,3.2,16,283,a,
2026-09-19T00:15:20.372387+00:00,97,54,0.1,3,28,1.2,6,66,i,0
2026-09-19T00:15:20.372387+00:00,98,50,2.5,2137,804,5.6,28,450,a,
2026-09-19T00:15:20.372387+00:00,99,50,0.0,2,3,0.0,0,0,i,0
2026-09-19T00:15:20.372387+00:00,100,50,0.0,74,10,1.2,6,3,a,100
2026-09-19T00:15:20.372387+00:00,101,49,0.0,45,7,0.4,2,90,a,100
2026-09-19T00:15:20.372387+00:00,102,48,0.7,92,140,1.8,9,216,a,
2026-09-19T00:15:20.372387+00:00,103,49,0.0,1,4,0.0,0,0,i,0
2026-09-19T00:15:20.372387+00:00,104,49,0.1,6,27,1.2,6,224,a,100
2026-09-19T00:15:20.372387+00:00,105,59,0.1,240,42,3.0,15,267,a,
2026-09-19T00:15:20.372387+00:00,106,78,8.9,4959,3391,2.0,10,442,a,
2026-09-19T00:15:20.372387+00:00,107,45,1.0,70,677,0.0,0,0,i,0
2026-09-19T00:15:20.372387+00:00,108,54,0.3,106,176,0.6,3,13,a,
2026-09-19T00:15:20.372387+00:00,109,45,21.7,2580,6172,3.4,17,360,a,
2026-09-19T00:15:20.372387+00:00,110,45,0.8,33,871,1.0,5,360,a,
2026-09-19T00:15:20.372387+00:00,111,40,4.2,858,583,0.0,0,0,a,
2026-09-19T00:15:20.372387+00:00,112,49,6.7,644,1333,3.6,18,360,a,
2026-09-19T00:15:20.372387+00:00,113,44,1.6,146,609,1.6,8,257,a,100
2026-09-19T00:15:20.372387+00:00,114,45,0.3,49,36,2.6,13,347,a,
2026-09-19T00:15:20.372387+00:00,115,49,25.1,13056,1102,6.4,32,333,a,
2026-09-19T00:15:20.372387+00:00,116,45,1.5,719,172,4.4,22,360,a,
2026-09-19T00:15:20.372387+00:00,117,45,0.0,6,3,0.0,0,0,a,
2026-09-19T00:15:20.372387+00:00,118,45,0.0,0,19,0.0,0,0,u,0
2026-09-19T00:15:20.372387+00:00,119,45,0.0,4,6,0.6,3,54,a,
2026-09-19T00:15:20.372387+00:00,120,50,0.1,29,18,0.0,0,0,a,
2026-09-19T00:15:20.372387+00:00,121,59,0.0,8,9,0.0,0,0,i,0
2026-09-19T00:15:20.372387+00:00,122,59,0.0,1,8,0.0,0,0,i,0
2026-09-19T00:15:20.372387+00:00,123,59,0.6,18,462,3.2,16,63,i,0
2026-09-19T00:15:20.372387+00:00,124,57,21.4,23972,1316,6.6,33,360,a,
2026-09-19T00:15:20.372387+00:00,125,54,0.5,109,203,1.0,5,90,a,100
2026-09-19T00:15:20.372387+00:00,126,54,0.1,23,18,0.2,1,6,a,
2026-09-19T00:15:20.372387+00:00,127,50,4.2,261,4213,3.2,16,348,a,
2026-09-19T00:15:20.372387+00:00,128,50,0.0,0,1,0.0,0,0,u,0
2026-09-19T00:15:20.372387+00:00,129,54,0.4,65,80,2.4,12,243,a,100
2026-09-19T00:15:20.372387+00:00,130,49,0.2,1,109,1.4,7,156,i,0
